LOCATION,FREQUENCY,SECTOR_TITLE,TIME,VALUE,SECTOR_CODE
BEL,A,Administrative and support service activities,2010,151.975,N
BEL,A,Administrative and support service activities,2011,167.6,N
BEL,A,Administrative and support service activities,2012,211.625,N
BEL,A,Administrative and support service activities,2013,235.15,N
BEL,A,Administrative and support service activities,2014,236.55,N
BEL,A,Administrative and support service activities,2015,237.475,N
BEL,A,Administrative and support service activities,2016,239.625,N
BEL,A,Administrative and support service activities,2017,235.825,N
BEL,A,Administrative and support service activities,2018,246.075,N
BEL,A,Administrative and support service activities,2019,258.1,N
BEL,A,Administrative and support service activities,2020,245.55,N
BEL,A,Administrative and support service activities,2021,246.025,N
BEL,A,Administrative and support service activities,2022,259.575,N
DEU,A,Education,2010,2184.225,P
DEU,A,Education,2011,2248.425,P
DEU,A,Education,2012,2294.625,P
DEU,A,Education,2013,2367.775,P
DEU,A,Education,2014,2412.275,P
DEU,A,Education,2015,2449.2,P
DEU,A,Education,2016,2493.4,P
DEU,A,Education,2017,2554.425,P
DEU,A,Education,2018,2622.775,P
DEU,A,Education,2019,2681.75,P
DEU,A,Education,2021,2572.275,P
DEU,A,Education,2022,2677.775,P
TUR,A,Human health and social work activities,2010,571.325,Q
TUR,A,Human health and social work activities,2011,671.325,Q
TUR,A,Human health and social work activities,2012,787.175,Q
TUR,A,Human health and social work activities,2013,835.925,Q
TUR,A,Human health and social work activities,2014,954.325,Q
TUR,A,Human health and social work activities,2015,1034.225,Q
TUR,A,Human health and social work activities,2016,1097.975,Q
TUR,A,Human health and social work activities,2017,1160.075,Q
TUR,A,Human health and social work activities,2018,1403.225,Q
TUR,A,Human health and social work activities,2019,1463.2,Q
TUR,A,Human health and social work activities,2020,1430.35,Q
MEX,A,Employees in Services,2010,19560.77, G-U
MEX,A,Employees in Services,2011,19885.24, G-U
MEX,A,Employees in Services,2012,20846.24, G-U
MEX,A,Employees in Services,2013,21056.32, G-U
MEX,A,Employees in Services,2014,21127.26, G-U
MEX,A,Employees in Services,2015,21535.24, G-U
MEX,A,Employees in Services,2016,21917.62, G-U
MEX,A,Employees in Services,2017,22245.24, G-U
MEX,A,Employees in Services,2018,22748.19, G-U
MEX,A,Employees in Services,2019,23451.46, G-U
MEX,A,Employees in Services,2021,23474.06, G-U
CZE,A,Transportation and storage,2010,291.225,H
CZE,A,Transportation and storage,2011,285.675,H
CZE,A,Transportation and storage,2012,276.025,H
CZE,A,Transportation and storage,2013,272.2,H
CZE,A,Transportation and storage,2014,263.875,H
CZE,A,Transportation and storage,2015,267.4,H
CZE,A,Transportation and storage,2016,287.325,H
CZE,A,Transportation and storage,2017,298.825,H
CZE,A,Transportation and storage,2018,296.375,H
CZE,A,Transportation and storage,2019,322.975,H
CZE,A,Transportation and storage,2020,294.775,H
CZE,A,Transportation and storage,2021,281.975,H
CZE,A,Transportation and storage,2022,293.825,H
ITA,A,Employees in Industry,2010,5110.775, B-F
ITA,A,Employees in Industry,2011,5102.8, B-F
ITA,A,Employees in Industry,2012,4986.1, B-F
ITA,A,Employees in Industry,2013,4820.425, B-F
ITA,A,Employees in Industry,2014,4817.55, B-F
ITA,A,Employees in Industry,2015,4836.925, B-F
ITA,A,Employees in Industry,2016,4862.25, B-F
ITA,A,Employees in Industry,2017,4920.85, B-F
ITA,A,Employees in Industry,2018,5022.775, B-F
ITA,A,Employees in Industry,2019,5057.3, B-F
ITA,A,Employees in Industry,2020,5055.075, B-F
ITA,A,Employees in Industry,2021,5071.6, B-F
ITA,A,Employees in Industry,2022,5235.225, B-F
FIN,A,"Employees in all activities  , Employees",2010,2119.6, A-U
FIN,A,"Employees in all activities  , Employees",2011,2143.0, A-U
FIN,A,"Employees in all activities  , Employees",2012,2146.1, A-U
FIN,A,"Employees in all activities  , Employees",2013,2126.575, A-U
FIN,A,"Employees in all activities  , Employees",2014,2104.625, A-U
FIN,A,"Employees in all activities  , Employees",2015,2090.35, A-U
FIN,A,"Employees in all activities  , Employees",2016,2104.575, A-U
FIN,A,"Employees in all activities  , Employees",2017,2147.25, A-U
FIN,A,"Employees in all activities  , Employees",2018,2204.35, A-U
FIN,A,"Employees in all activities  , Employees",2019,2220.25, A-U
FIN,A,"Employees in all activities  , Employees",2020,2188.575, A-U
FIN,A,"Employees in all activities  , Employees",2021,2198.325, A-U
FIN,A,"Employees in all activities  , Employees",2022,2271.875, A-U
SVN,A,"Employees in Agriculture,hunting and forestry",2010,9.4, A
SVN,A,"Employees in Agriculture,hunting and forestry",2011,9.85, A
SVN,A,"Employees in Agriculture,hunting and forestry",2012,9.975, A
SVN,A,"Employees in Agriculture,hunting and forestry",2013,8.75, A
SVN,A,"Employees in Agriculture,hunting and forestry",2014,8.725, A
SVN,A,"Employees in Agriculture,hunting and forestry",2015,8.7, A
SVN,A,"Employees in Agriculture,hunting and forestry",2016,7.75, A
SVN,A,"Employees in Agriculture,hunting and forestry",2017,9.1, A
SVN,A,"Employees in Agriculture,hunting and forestry",2018,8.175, A
SVN,A,"Employees in Agriculture,hunting and forestry",2019,7.425, A
SVN,A,"Employees in Agriculture,hunting and forestry",2020,7.375, A
SVN,A,"Employees in Agriculture,hunting and forestry",2021,6.5, A
SVN,A,"Employees in Agriculture,hunting and forestry",2022,6.8, A
LUX,A,Transportation and storage,2010,9.125,H
LUX,A,Transportation and storage,2011,8.75,H
LUX,A,Transportation and storage,2012,8.85,H
LUX,A,Transportation and storage,2013,9.9,H
LUX,A,Transportation and storage,2014,9.5,H
LUX,A,Transportation and storage,2015,9.825,H
LUX,A,Transportation and storage,2016,10.225,H
LUX,A,Transportation and storage,2017,9.325,H
LUX,A,Transportation and storage,2018,10.55,H
LUX,A,Transportation and storage,2019,11.45,H
LUX,A,Transportation and storage,2020,12.25,H
LUX,A,Transportation and storage,2021,11.35,H
LUX,A,Transportation and storage,2022,12.9,H
JPN,A,"Arts, entertainment and recreation",2010,740.0, R
JPN,A,"Arts, entertainment and recreation",2011,710.0, R
JPN,A,"Arts, entertainment and recreation",2012,720.0, R
JPN,A,"Arts, entertainment and recreation",2013,730.0, R
JPN,A,"Arts, entertainment and recreation",2014,690.0, R
JPN,A,"Arts, entertainment and recreation",2015,670.0, R
JPN,A,"Arts, entertainment and recreation",2016,700.0, R
JPN,A,"Arts, entertainment and recreation",2017,740.0, R
JPN,A,"Arts, entertainment and recreation",2018,750.0, R
JPN,A,"Arts, entertainment and recreation",2019,780.0, R
JPN,A,"Arts, entertainment and recreation",2020,750.0, R
JPN,A,"Arts, entertainment and recreation",2021,700.0, R
JPN,A,"Arts, entertainment and recreation",2022,690.0, R
HUN,A,Employees in Services,2010,2116.1, G-U
HUN,A,Employees in Services,2011,2112.475, G-U
HUN,A,Employees in Services,2012,2195.375, G-U
HUN,A,Employees in Services,2013,2255.35, G-U
HUN,A,Employees in Services,2014,2356.325, G-U
HUN,A,Employees in Services,2015,2428.825, G-U
HUN,A,Employees in Services,2016,2509.65, G-U
HUN,A,Employees in Services,2017,2521.025, G-U
HUN,A,Employees in Services,2018,2513.8, G-U
HUN,A,Employees in Services,2019,2537.675, G-U
HUN,A,Employees in Services,2020,2474.275, G-U
HUN,A,Employees in Services,2021,2602.375, G-U
HUN,A,Employees in Services,2022,2640.2, G-U
KOR,A,Information and communication,2010,609.7,J
KOR,A,Information and communication,2011,638.3,J
KOR,A,Information and communication,2012,648.6,J
KOR,A,Information and communication,2013,643.0,J
KOR,A,Information and communication,2014,651.0,J
KOR,A,Information and communication,2015,704.0,J
KOR,A,Information and communication,2016,705.0,J
KOR,A,Information and communication,2017,708.0,J
KOR,A,Information and communication,2018,760.0,J
KOR,A,Information and communication,2019,789.0,J
KOR,A,Information and communication,2020,772.0,J
KOR,A,Information and communication,2021,838.0,J
KOR,A,Information and communication,2022,915.0,J
GBR,A,"Public administration and defence, Compulsory social security",2010,1881.839,O
GBR,A,"Public administration and defence, Compulsory social security",2011,1828.423,O
GBR,A,"Public administration and defence, Compulsory social security",2012,1790.951,O
GBR,A,"Public administration and defence, Compulsory social security",2013,1816.313,O
GBR,A,"Public administration and defence, Compulsory social security",2014,1789.45,O
GBR,A,"Public administration and defence, Compulsory social security",2015,1806.844,O
GBR,A,"Public administration and defence, Compulsory social security",2016,1858.03,O
GBR,A,"Public administration and defence, Compulsory social security",2017,1926.04,O
GBR,A,"Public administration and defence, Compulsory social security",2018,2054.09,O
GBR,A,"Public administration and defence, Compulsory social security",2019,2053.792,O
GBR,A,"Public administration and defence, Compulsory social security",2020,2225.503,O
FIN,A,"Electricity, gas, steam and air conditioning supply",2010,14.875,D
FIN,A,"Electricity, gas, steam and air conditioning supply",2011,14.375,D
FIN,A,"Electricity, gas, steam and air conditioning supply",2012,14.275,D
FIN,A,"Electricity, gas, steam and air conditioning supply",2013,13.875,D
FIN,A,"Electricity, gas, steam and air conditioning supply",2014,14.35,D
FIN,A,"Electricity, gas, steam and air conditioning supply",2015,13.2,D
FIN,A,"Electricity, gas, steam and air conditioning supply",2016,16.95,D
FIN,A,"Electricity, gas, steam and air conditioning supply",2017,16.075,D
FIN,A,"Electricity, gas, steam and air conditioning supply",2018,12.6,D
FIN,A,"Electricity, gas, steam and air conditioning supply",2019,13.6,D
FIN,A,"Electricity, gas, steam and air conditioning supply",2020,16.75,D
FIN,A,"Electricity, gas, steam and air conditioning supply",2021,14.95,D
FIN,A,"Electricity, gas, steam and air conditioning supply",2022,15.625,D
ITA,A,Human health and social work activities,2010,1398.825,Q
ITA,A,Human health and social work activities,2011,1438.5,Q
ITA,A,Human health and social work activities,2012,1508.9,Q
ITA,A,Human health and social work activities,2013,1490.1,Q
ITA,A,Human health and social work activities,2014,1518.775,Q
ITA,A,Human health and social work activities,2015,1518.8,Q
ITA,A,Human health and social work activities,2016,1555.45,Q
ITA,A,Human health and social work activities,2017,1575.7,Q
ITA,A,Human health and social work activities,2018,1582.675,Q
ITA,A,Human health and social work activities,2019,1607.9,Q
ITA,A,Human health and social work activities,2020,1583.175,Q
ITA,A,Human health and social work activities,2021,1596.225,Q
ITA,A,Human health and social work activities,2022,1606.675,Q
TUR,A,Financial and insurance activities,2010,257.1,K
TUR,A,Financial and insurance activities,2011,264.175,K
TUR,A,Financial and insurance activities,2012,250.0,K
TUR,A,Financial and insurance activities,2013,272.1,K
TUR,A,Financial and insurance activities,2014,274.65,K
TUR,A,Financial and insurance activities,2015,275.675,K
TUR,A,Financial and insurance activities,2016,278.475,K
TUR,A,Financial and insurance activities,2017,246.975,K
TUR,A,Financial and insurance activities,2018,234.45,K
TUR,A,Financial and insurance activities,2019,271.35,K
TUR,A,Financial and insurance activities,2020,289.0,K
DEU,A,Information and communication,2010,1023.725,J
DEU,A,Information and communication,2011,1039.875,J
DEU,A,Information and communication,2012,1073.65,J
DEU,A,Information and communication,2013,964.075,J
DEU,A,Information and communication,2014,980.125,J
DEU,A,Information and communication,2015,1015.4,J
DEU,A,Information and communication,2016,1077.925,J
DEU,A,Information and communication,2017,1088.025,J
DEU,A,Information and communication,2018,1139.675,J
DEU,A,Information and communication,2019,1199.85,J
DEU,A,Information and communication,2021,1428.725,J
DEU,A,Information and communication,2022,1517.825,J
POL,A,"Employees in Agriculture,hunting and forestry",2010,212.5, A
POL,A,"Employees in Agriculture,hunting and forestry",2011,218.625, A
POL,A,"Employees in Agriculture,hunting and forestry",2012,217.175, A
POL,A,"Employees in Agriculture,hunting and forestry",2013,216.525, A
POL,A,"Employees in Agriculture,hunting and forestry",2014,219.2, A
POL,A,"Employees in Agriculture,hunting and forestry",2015,217.0, A
POL,A,"Employees in Agriculture,hunting and forestry",2016,216.875, A
POL,A,"Employees in Agriculture,hunting and forestry",2017,235.65, A
POL,A,"Employees in Agriculture,hunting and forestry",2018,211.95, A
POL,A,"Employees in Agriculture,hunting and forestry",2019,201.475, A
POL,A,"Employees in Agriculture,hunting and forestry",2020,202.7, A
POL,A,"Employees in Agriculture,hunting and forestry",2021,145.9, A
POL,A,"Employees in Agriculture,hunting and forestry",2022,133.175, A
AUT,A,"Agriculture,hunting and forestry",2010,33.8,A
AUT,A,"Agriculture,hunting and forestry",2011,26.925,A
AUT,A,"Agriculture,hunting and forestry",2012,26.8,A
AUT,A,"Agriculture,hunting and forestry",2013,25.875,A
AUT,A,"Agriculture,hunting and forestry",2014,28.25,A
AUT,A,"Agriculture,hunting and forestry",2015,30.35,A
AUT,A,"Agriculture,hunting and forestry",2016,30.7,A
AUT,A,"Agriculture,hunting and forestry",2017,29.15,A
AUT,A,"Agriculture,hunting and forestry",2018,31.875,A
AUT,A,"Agriculture,hunting and forestry",2019,36.05,A
AUT,A,"Agriculture,hunting and forestry",2020,37.8,A
AUT,A,"Agriculture,hunting and forestry",2021,39.2,A
AUT,A,"Agriculture,hunting and forestry",2022,36.325,A
MEX,A,Employees in Industry,2010,8467.498, B-F
MEX,A,Employees in Industry,2011,8561.441, B-F
MEX,A,Employees in Industry,2012,8834.229, B-F
MEX,A,Employees in Industry,2013,9043.469, B-F
MEX,A,Employees in Industry,2014,9352.913, B-F
MEX,A,Employees in Industry,2015,9743.38, B-F
MEX,A,Employees in Industry,2016,10108.23, B-F
MEX,A,Employees in Industry,2017,10370.79, B-F
MEX,A,Employees in Industry,2018,10660.59, B-F
MEX,A,Employees in Industry,2019,10587.52, B-F
MEX,A,Employees in Industry,2021,10662.46, B-F
MEX,A,Employees in Industry,2022,11164.3, B-F
TUR,A,Employees in Industry,2010,4947.325, B-F
TUR,A,Employees in Industry,2011,5392.1, B-F
TUR,A,Employees in Industry,2012,5505.225, B-F
TUR,A,Employees in Industry,2013,5741.575, B-F
TUR,A,Employees in Industry,2014,6126.575, B-F
TUR,A,Employees in Industry,2015,6154.175, B-F
TUR,A,Employees in Industry,2016,6150.25, B-F
TUR,A,Employees in Industry,2017,6275.025, B-F
TUR,A,Employees in Industry,2018,6462.65, B-F
TUR,A,Employees in Industry,2019,6002.25, B-F
TUR,A,Employees in Industry,2020,5958.075, B-F
MEX,A,Real estate activities,2010,161.473,L
MEX,A,Real estate activities,2011,183.3362,L
MEX,A,Real estate activities,2012,190.318,L
MEX,A,Real estate activities,2013,171.2635,L
MEX,A,Real estate activities,2014,187.8875,L
MEX,A,Real estate activities,2015,221.0482,L
MEX,A,Real estate activities,2016,196.9375,L
MEX,A,Real estate activities,2017,214.16,L
MEX,A,Real estate activities,2018,217.114,L
MEX,A,Real estate activities,2019,234.9207,L
MEX,A,Real estate activities,2021,252.2807,L
MEX,A,Real estate activities,2022,263.252,L
GBR,A,Accommodation and food service activities,2010,1294.937,I
GBR,A,Accommodation and food service activities,2011,1322.111,I
GBR,A,Accommodation and food service activities,2012,1343.451,I
GBR,A,Accommodation and food service activities,2013,1383.577,I
GBR,A,Accommodation and food service activities,2014,1470.066,I
GBR,A,Accommodation and food service activities,2015,1494.823,I
GBR,A,Accommodation and food service activities,2016,1560.255,I
GBR,A,Accommodation and food service activities,2017,1591.484,I
GBR,A,Accommodation and food service activities,2018,1615.214,I
GBR,A,Accommodation and food service activities,2019,1597.999,I
GBR,A,Accommodation and food service activities,2020,1482.238,I
GRC,A,Transportation and storage,2010,146.2,H
GRC,A,Transportation and storage,2011,134.85,H
GRC,A,Transportation and storage,2012,120.8,H
GRC,A,Transportation and storage,2013,118.075,H
GRC,A,Transportation and storage,2014,117.5,H
GRC,A,Transportation and storage,2015,117.55,H
GRC,A,Transportation and storage,2016,133.4,H
GRC,A,Transportation and storage,2017,132.55,H
GRC,A,Transportation and storage,2018,126.6,H
GRC,A,Transportation and storage,2019,145.75,H
GRC,A,Transportation and storage,2020,152.925,H
GRC,A,Transportation and storage,2021,152.475,H
GRC,A,Transportation and storage,2022,158.375,H
NLD,A,"Employees in Agriculture,hunting and forestry",2010,99.05, A
NLD,A,"Employees in Agriculture,hunting and forestry",2011,100.225, A
NLD,A,"Employees in Agriculture,hunting and forestry",2012,98.125, A
NLD,A,"Employees in Agriculture,hunting and forestry",2013,72.85, A
NLD,A,"Employees in Agriculture,hunting and forestry",2014,75.075, A
NLD,A,"Employees in Agriculture,hunting and forestry",2015,70.175, A
NLD,A,"Employees in Agriculture,hunting and forestry",2016,73.35, A
NLD,A,"Employees in Agriculture,hunting and forestry",2017,74.825, A
NLD,A,"Employees in Agriculture,hunting and forestry",2018,71.7, A
NLD,A,"Employees in Agriculture,hunting and forestry",2019,72.825, A
NLD,A,"Employees in Agriculture,hunting and forestry",2020,77.425, A
NLD,A,"Employees in Agriculture,hunting and forestry",2021,109.2, A
GBR,A,"Employees in Agriculture,hunting and forestry",2010,143.4328, A
GBR,A,"Employees in Agriculture,hunting and forestry",2011,144.4655, A
GBR,A,"Employees in Agriculture,hunting and forestry",2012,153.0403, A
GBR,A,"Employees in Agriculture,hunting and forestry",2013,136.9715, A
GBR,A,"Employees in Agriculture,hunting and forestry",2014,160.7298, A
GBR,A,"Employees in Agriculture,hunting and forestry",2015,168.653, A
GBR,A,"Employees in Agriculture,hunting and forestry",2016,169.146, A
GBR,A,"Employees in Agriculture,hunting and forestry",2017,172.0347, A
GBR,A,"Employees in Agriculture,hunting and forestry",2018,160.7968, A
GBR,A,"Employees in Agriculture,hunting and forestry",2019,149.995, A
GBR,A,"Employees in Agriculture,hunting and forestry",2020,153.4283, A
DEU,A,Mining and quarrying,2010,91.575,B
DEU,A,Mining and quarrying,2011,95.1,B
DEU,A,Mining and quarrying,2012,91.7,B
DEU,A,Mining and quarrying,2013,81.775,B
DEU,A,Mining and quarrying,2014,85.925,B
DEU,A,Mining and quarrying,2015,80.5,B
DEU,A,Mining and quarrying,2016,82.5,B
DEU,A,Mining and quarrying,2017,76.9,B
DEU,A,Mining and quarrying,2018,70.25,B
DEU,A,Mining and quarrying,2019,66.175,B
DEU,A,Mining and quarrying,2021,73.375,B
DEU,A,Mining and quarrying,2022,69.35,B
HUN,A,Employees in Industry,2010,1044.425, B-F
HUN,A,Employees in Industry,2011,1062.275, B-F
HUN,A,Employees in Industry,2012,1051.75, B-F
HUN,A,Employees in Industry,2013,1074.525, B-F
HUN,A,Employees in Industry,2014,1152.85, B-F
HUN,A,Employees in Industry,2015,1177.7, B-F
HUN,A,Employees in Industry,2016,1223.2, B-F
HUN,A,Employees in Industry,2017,1290.525, B-F
HUN,A,Employees in Industry,2018,1343.875, B-F
HUN,A,Employees in Industry,2019,1340.025, B-F
HUN,A,Employees in Industry,2020,1300.825, B-F
HUN,A,Employees in Industry,2021,1320.325, B-F
HUN,A,Employees in Industry,2022,1340.2, B-F
FIN,A,Administrative and support service activities,2010,86.875,N
FIN,A,Administrative and support service activities,2011,86.15,N
FIN,A,Administrative and support service activities,2012,88.775,N
FIN,A,Administrative and support service activities,2013,85.2,N
FIN,A,Administrative and support service activities,2014,88.75,N
FIN,A,Administrative and support service activities,2015,93.675,N
FIN,A,Administrative and support service activities,2016,93.55,N
FIN,A,Administrative and support service activities,2017,98.975,N
FIN,A,Administrative and support service activities,2018,99.975,N
FIN,A,Administrative and support service activities,2019,105.325,N
FIN,A,Administrative and support service activities,2020,98.15,N
FIN,A,Administrative and support service activities,2021,111.8,N
FIN,A,Administrative and support service activities,2022,123.3,N
SWE,A,"Public administration and defence, Compulsory social security",2010,270.1,O
SWE,A,"Public administration and defence, Compulsory social security",2011,276.075,O
SWE,A,"Public administration and defence, Compulsory social security",2012,282.325,O
SWE,A,"Public administration and defence, Compulsory social security",2013,294.55,O
SWE,A,"Public administration and defence, Compulsory social security",2014,306.625,O
SWE,A,"Public administration and defence, Compulsory social security",2015,312.65,O
SWE,A,"Public administration and defence, Compulsory social security",2016,323.325,O
SWE,A,"Public administration and defence, Compulsory social security",2017,338.4,O
SWE,A,"Public administration and defence, Compulsory social security",2018,366.5,O
SWE,A,"Public administration and defence, Compulsory social security",2019,365.9,O
SWE,A,"Public administration and defence, Compulsory social security",2020,368.05,O
SWE,A,"Public administration and defence, Compulsory social security",2021,407.3,O
SWE,A,"Public administration and defence, Compulsory social security",2022,420.7,O
FIN,A,Activities of households as employers undifferentiated goods- and services-producing activities of households for own use,2010,7.825,T
FIN,A,Activities of households as employers undifferentiated goods- and services-producing activities of households for own use,2011,7.975,T
FIN,A,Activities of households as employers undifferentiated goods- and services-producing activities of households for own use,2012,8.025,T
FIN,A,Activities of households as employers undifferentiated goods- and services-producing activities of households for own use,2013,8.25,T
FIN,A,Activities of households as employers undifferentiated goods- and services-producing activities of households for own use,2014,10.15,T
FIN,A,Activities of households as employers undifferentiated goods- and services-producing activities of households for own use,2015,9.325,T
FIN,A,Activities of households as employers undifferentiated goods- and services-producing activities of households for own use,2016,9.725,T
FIN,A,Activities of households as employers undifferentiated goods- and services-producing activities of households for own use,2017,10.7,T
FIN,A,Activities of households as employers undifferentiated goods- and services-producing activities of households for own use,2018,8.125,T
FIN,A,Activities of households as employers undifferentiated goods- and services-producing activities of households for own use,2019,9.2,T
FIN,A,Activities of households as employers undifferentiated goods- and services-producing activities of households for own use,2020,8.2,T
FIN,A,Activities of households as employers undifferentiated goods- and services-producing activities of households for own use,2021,9.075,T
FIN,A,Activities of households as employers undifferentiated goods- and services-producing activities of households for own use,2022,7.8,T
KOR,A,Education,2010,1447.5,P
KOR,A,Education,2011,1370.3,P
KOR,A,Education,2012,1412.5,P
KOR,A,Education,2013,1393.0,P
KOR,A,Education,2014,1444.0,P
KOR,A,Education,2015,1471.0,P
KOR,A,Education,2016,1510.0,P
KOR,A,Education,2017,1553.0,P
KOR,A,Education,2018,1495.0,P
KOR,A,Education,2019,1535.0,P
KOR,A,Education,2020,1482.0,P
KOR,A,Education,2021,1538.0,P
KOR,A,Education,2022,1587.0,P
NZL,A,Employees in Industry,2010,371.0, B-F
NZL,A,Employees in Industry,2011,367.0, B-F
NZL,A,Employees in Industry,2012,366.0, B-F
NZL,A,Employees in Industry,2013,372.0, B-F
NZL,A,Employees in Industry,2014,401.0, B-F
NZL,A,Employees in Industry,2015,434.0, B-F
NZL,A,Employees in Industry,2016,405.0, B-F
NZL,A,Employees in Industry,2017,423.0, B-F
NZL,A,Employees in Industry,2018,426.0, B-F
NZL,A,Employees in Industry,2019,415.0, B-F
NZL,A,Employees in Industry,2020,439.0, B-F
NZL,A,Employees in Industry,2021,441.0, B-F
NZL,A,Employees in Industry,2022,468.0, B-F
GRC,A,"Agriculture,hunting and forestry",2010,52.725,A
GRC,A,"Agriculture,hunting and forestry",2011,47.725,A
GRC,A,"Agriculture,hunting and forestry",2012,45.875,A
GRC,A,"Agriculture,hunting and forestry",2013,44.475,A
GRC,A,"Agriculture,hunting and forestry",2014,45.2,A
GRC,A,"Agriculture,hunting and forestry",2015,46.05,A
GRC,A,"Agriculture,hunting and forestry",2016,46.475,A
GRC,A,"Agriculture,hunting and forestry",2017,44.625,A
GRC,A,"Agriculture,hunting and forestry",2018,45.75,A
GRC,A,"Agriculture,hunting and forestry",2019,50.45,A
GRC,A,"Agriculture,hunting and forestry",2020,41.925,A
GRC,A,"Agriculture,hunting and forestry",2021,37.95,A
GRC,A,"Agriculture,hunting and forestry",2022,43.55,A
GRC,A,Manufacturing,2010,345.175,C 
GRC,A,Manufacturing,2011,300.025,C 
GRC,A,Manufacturing,2012,252.3,C 
GRC,A,Manufacturing,2013,232.475,C 
GRC,A,Manufacturing,2014,232.25,C 
GRC,A,Manufacturing,2015,251.0,C 
GRC,A,Manufacturing,2016,268.675,C 
GRC,A,Manufacturing,2017,281.625,C 
GRC,A,Manufacturing,2018,283.5,C 
GRC,A,Manufacturing,2019,302.4,C 
GRC,A,Manufacturing,2020,295.5,C 
GRC,A,Manufacturing,2021,314.8,C 
GRC,A,Manufacturing,2022,340.625,C 
DNK,A,Human health and social work activities,2010,490.775,Q
DNK,A,Human health and social work activities,2011,482.6,Q
DNK,A,Human health and social work activities,2012,470.4,Q
DNK,A,Human health and social work activities,2013,471.025,Q
DNK,A,Human health and social work activities,2014,481.225,Q
DNK,A,Human health and social work activities,2015,459.925,Q
DNK,A,Human health and social work activities,2016,468.1,Q
DNK,A,Human health and social work activities,2017,490.55,Q
DNK,A,Human health and social work activities,2018,499.75,Q
DNK,A,Human health and social work activities,2019,500.4,Q
DNK,A,Human health and social work activities,2020,498.125,Q
DNK,A,Human health and social work activities,2021,513.3,Q
DNK,A,Human health and social work activities,2022,527.025,Q
NLD,A,"Water supply, sewerage, waste management and remediation activities",2010,33.625,E
NLD,A,"Water supply, sewerage, waste management and remediation activities",2011,32.0,E
NLD,A,"Water supply, sewerage, waste management and remediation activities",2012,33.125,E
NLD,A,"Water supply, sewerage, waste management and remediation activities",2013,33.625,E
NLD,A,"Water supply, sewerage, waste management and remediation activities",2014,31.95,E
NLD,A,"Water supply, sewerage, waste management and remediation activities",2015,30.15,E
NLD,A,"Water supply, sewerage, waste management and remediation activities",2016,31.9,E
NLD,A,"Water supply, sewerage, waste management and remediation activities",2017,34.925,E
NLD,A,"Water supply, sewerage, waste management and remediation activities",2018,29.175,E
NLD,A,"Water supply, sewerage, waste management and remediation activities",2019,31.6,E
NLD,A,"Water supply, sewerage, waste management and remediation activities",2020,31.425,E
NLD,A,"Water supply, sewerage, waste management and remediation activities",2021,41.6,E
LUX,A,Administrative and support service activities,2010,5.7,N
LUX,A,Administrative and support service activities,2011,5.475,N
LUX,A,Administrative and support service activities,2012,6.15,N
LUX,A,Administrative and support service activities,2013,5.75,N
LUX,A,Administrative and support service activities,2014,5.85,N
LUX,A,Administrative and support service activities,2015,7.55,N
LUX,A,Administrative and support service activities,2016,7.15,N
LUX,A,Administrative and support service activities,2017,7.55,N
LUX,A,Administrative and support service activities,2018,6.825,N
LUX,A,Administrative and support service activities,2019,8.125,N
LUX,A,Administrative and support service activities,2020,7.175,N
LUX,A,Administrative and support service activities,2021,8.725,N
LUX,A,Administrative and support service activities,2022,8.825,N
LUX,A,"Employees in all activities  , Employees",2010,202.45, A-U
LUX,A,"Employees in all activities  , Employees",2011,205.35, A-U
LUX,A,"Employees in all activities  , Employees",2012,214.75, A-U
LUX,A,"Employees in all activities  , Employees",2013,216.9, A-U
LUX,A,"Employees in all activities  , Employees",2014,223.775, A-U
LUX,A,"Employees in all activities  , Employees",2015,231.525, A-U
LUX,A,"Employees in all activities  , Employees",2016,233.7, A-U
LUX,A,"Employees in all activities  , Employees",2017,244.175, A-U
LUX,A,"Employees in all activities  , Employees",2018,255.175, A-U
LUX,A,"Employees in all activities  , Employees",2019,262.875, A-U
LUX,A,"Employees in all activities  , Employees",2020,263.55, A-U
LUX,A,"Employees in all activities  , Employees",2021,273.175, A-U
LUX,A,"Employees in all activities  , Employees",2022,276.525, A-U
FIN,A,Financial and insurance activities,2010,47.2,K
FIN,A,Financial and insurance activities,2011,50.9,K
FIN,A,Financial and insurance activities,2012,48.85,K
FIN,A,Financial and insurance activities,2013,47.075,K
FIN,A,Financial and insurance activities,2014,47.7,K
FIN,A,Financial and insurance activities,2015,45.9,K
FIN,A,Financial and insurance activities,2016,48.675,K
FIN,A,Financial and insurance activities,2017,51.4,K
FIN,A,Financial and insurance activities,2018,46.775,K
FIN,A,Financial and insurance activities,2019,48.875,K
FIN,A,Financial and insurance activities,2020,49.475,K
FIN,A,Financial and insurance activities,2021,43.325,K
FIN,A,Financial and insurance activities,2022,45.1,K
SVK,A,Other service activities,2010,16.1,S
SVK,A,Other service activities,2011,15.6,S
SVK,A,Other service activities,2012,15.65,S
SVK,A,Other service activities,2013,17.575,S
SVK,A,Other service activities,2014,17.075,S
SVK,A,Other service activities,2015,17.4,S
SVK,A,Other service activities,2016,17.025,S
SVK,A,Other service activities,2017,16.3,S
SVK,A,Other service activities,2018,17.375,S
SVK,A,Other service activities,2019,19.675,S
SVK,A,Other service activities,2020,15.0,S
SVK,A,Other service activities,2021,12.975,S
SVK,A,Other service activities,2022,17.2,S
